index,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,name,group
S10,10801.0,3893.0,GLC3,Glucose
S11,7523.0,2933.0,HMO3,HMO
S12,721.0,11885.0,Fiber3,Fiber
S13,6616.0,6260.0,MIX3,Mix
S14,9387.0,4500.0,GLC4,Glucose
S15,5698.0,2801.0,HMO4,HMO
S16,974.0,11948.0,Fiber4,Fiber
S17,801.0,12837.0,Mix4,Mix
S1,8903.0,3315.0,Zero,Control
S2,9078.0,2979.0,Glc1,Glucose
S3,6274.0,5000.0,HMO1,HMO
S4,794.0,8840.0,Fiber1,Fiber
S5,6225.0,5102.0,Mix1,Mix
S6,9799.0,3666.0,Glc2,Glucose
S7,7647.0,4078.0,HMO2,HMO
S8,194.0,9181.0,Fiber2,Fiber
S9,737.0,11266.0,Mix2,Mix
