ID	mappedID	age
E150024856_L01_UDB-45	METAF0006	Infant
E150024856_L01_UDB-44	METAF0005	Infant
E150024856_L01_UDB-47	METAF0008	Infant
E150024856_L01_UDB-46	METAF0007	Infant
E150024856_L01_UDB-41	METAF0002	Infant
E150024856_L01_UDB-40	METAF0001	Infant
E150024856_L01_UDB-43	METAF0004	Infant
E150024856_L01_UDB-42	METAF0003	Infant
E150024856_L01_UDB-49	METAF0010	Infant
E150024856_L01_UDB-48	METAF0009	Infant
E150024856_L01_UDB-52	METAF0013	Infant
E150024856_L01_UDB-53	METAF0014	Infant
E150024856_L01_UDB-50	METAF0011	Infant
E150024856_L01_UDB-51	METAF0012	Infant
E150024856_L01_UDB-56	METAF0017	Infant
E150024856_L01_UDB-57	METAF0018	Infant
E150024856_L01_UDB-54	METAF0015	Infant
E150024856_L01_UDB-55	METAF0016	Infant
E150024856_L01_UDB-159	META0069	Infant
E150024856_L01_UDB-17	META0081	Infant
E150024856_L01_UDB-158	META0068	Infant
E150024856_L01_UDB-14	META0060	Infant
E150024856_L01_UDB-12	META0058	Infant
E150024856_L01_UDB-13	META0059	Infant
E150024856_L01_UDB-11	META0057	Infant
E100079703_L01_UDB-105	META0006	Infant
E100079703_L01_UDB-151	META0052	Infant
E100079703_L01_UDB-150	META0051	Infant
E150024856_L01_UDB-153	META0063	Infant
E150024856_L01_UDB-152	META0062	Infant
E150024856_L01_UDB-155	META0065	Infant
E150024856_L01_UDB-18	META0092	Infant
E150024856_L01_UDB-19	META0103	Infant
E150024856_L01_UDB-23	META0111	Infant
E100079703_L01_UDB-146	META0047	Infant
E100079703_L01_UDB-147	META0048	Infant
E150024856_L01_UDB-21	META0109	Infant
E100079703_L01_UDB-144	META0045	Infant
E150024856_L01_UDB-20	META0108	Infant
E150024856_L01_UDB-27	META0115	Infant
E100079703_L01_UDB-142	META0043	Infant
E100079703_L01_UDB-143	META0044	Infant
E150024856_L01_UDB-25	META0113	Infant
E100079703_L01_UDB-140	META0041	Infant
E150024856_L01_UDB-24	META0112	Infant
E100079703_L01_UDB-141	META0042	Infant
E100079703_L01_UDB-148	META0049	Infant
E100079703_L01_UDB-149	META0050	Infant
E150024856_L01_UDB-171	META0083	Infant
E150024856_L01_UDB-33	META0122	Infant
E150024856_L01_UDB-170	META0082	Infant
E150024856_L01_UDB-177	META0089	Infant
E150024856_L01_UDB-176	META0088	Infant
E100079703_L01_UDB-139	META0040	Infant
E100079703_L01_UDB-138	META0039	Infant
E150024856_L01_UDB-38	META0127	Infant
E100079703_L01_UDB-137	META0038	Infant
E100079703_L01_UDB-136	META0037	Infant
E100079703_L01_UDB-135	META0036	Infant
E100079703_L01_UDB-134	META0035	Infant
E150024856_L01_UDB-191	META0105	Infant
E100079703_L01_UDB-133	META0034	Infant
E100079703_L01_UDB-132	META0033	Infant
E100079703_L01_UDB-131	META0032	Infant
E150024856_L01_UDB-192	META0106	Infant
E100079703_L01_UDB-130	META0031	Infant
E150024856_L01_UDB-160	META0071	Infant
E100079703_L01_UDB-115	META0016	Infant
E150024856_L01_UDB-161	META0072	Infant
E100079703_L01_UDB-114	META0015	Infant
E150024856_L01_UDB-162	META0073	Infant
E100079703_L01_UDB-117	META0018	Infant
E150024856_L01_UDB-163	META0074	Infant
E100079703_L01_UDB-116	META0017	Infant
E150024856_L01_UDB-7	META0132	Infant
E150024856_L01_UDB-164	META0075	Infant
E100079703_L01_UDB-128	META0029	Infant
E150024856_L01_UDB-6	META0131	Infant
E150024856_L01_UDB-165	META0076	Infant
E100079703_L01_UDB-129	META0030	Infant
E150024856_L01_UDB-5	META0130	Infant
E150024856_L01_UDB-166	META0077	Infant
E100079703_L01_UDB-113	META0014	Infant
E150024856_L01_UDB-4	META0129	Infant
E150024856_L01_UDB-168	META0079	Infant
E150024856_L01_UDB-169	META0080	Infant
E150024856_L01_UDB-9	META0134	Infant
E150024856_L01_UDB-8	META0133	Infant
E100079703_L01_UDB-127	META0028	Infant
E150024856_L01_UDB-186	META0099	Infant
E100079703_L01_UDB-120	META0021	Infant
E100079703_L01_UDB-119	META0020	Infant
E100079703_L01_UDB-118	META0019	Infant
E150024856_L01_UDB-184	META0097	Infant
E150024856_L01_UDB-64	METAF0025	Mother
E150024856_L01_UDB-63	METAF0024	Mother
E150024856_L01_UDB-61	METAF0022	Mother
E150024856_L01_UDB-60	METAF0021	Mother
E150024856_L01_UDB-58	METAF0019	Mother
E150024856_L01_UDB-59	METAF0020	Mother
E100079703_L01_UDB-100	META0001	Mother
E100079703_L01_UDB-101	META0002	Mother
E100079703_L01_UDB-124	META0025	Mother
E100079703_L01_UDB-125	META0026	Mother
E100079703_L01_UDB-126	META0027	Mother
E100079703_L01_UDB-121	META0022	Mother
E100079703_L01_UDB-122	META0023	Mother
E100079703_L01_UDB-123	META0024	Mother
